,Date,signal_RL
0,2023-12-04,1
1,2023-12-05,1
2,2023-12-06,1
3,2023-12-07,1
4,2023-12-08,1
5,2023-12-11,1
6,2023-12-12,1
7,2023-12-13,1
8,2023-12-14,1
9,2023-12-15,0
10,2023-12-18,0
11,2023-12-19,0
12,2023-12-20,0
13,2023-12-21,0
14,2023-12-22,0
15,2023-12-26,0
16,2023-12-27,0
17,2023-12-28,0
18,2023-12-29,0
19,2024-01-02,1
20,2024-01-03,1
21,2024-01-04,1
22,2024-01-05,1
23,2024-01-08,0
24,2024-01-09,0
25,2024-01-10,0
26,2024-01-11,0
27,2024-01-12,0
28,2024-01-16,0
29,2024-01-17,0
30,2024-01-18,0
31,2024-01-19,0
32,2024-01-22,0
33,2024-01-23,0
34,2024-01-24,1
35,2024-01-25,1
36,2024-01-26,1
37,2024-01-29,1
38,2024-01-30,0
39,2024-01-31,0
40,2024-02-01,0
41,2024-02-02,0
42,2024-02-05,0
43,2024-02-06,0
44,2024-02-07,0
45,2024-02-08,0
46,2024-02-09,0
47,2024-02-12,0
48,2024-02-13,0
49,2024-02-14,0
50,2024-02-15,0
51,2024-02-16,0
52,2024-02-20,0
53,2024-02-21,0
54,2024-02-22,0
55,2024-02-23,0
56,2024-02-26,0
57,2024-02-27,0
58,2024-02-28,0
59,2024-02-29,0
60,2024-03-01,0
61,2024-03-04,0
62,2024-03-05,0
63,2024-03-06,0
64,2024-03-07,0
65,2024-03-08,0
66,2024-03-11,1
67,2024-03-12,1
68,2024-03-13,1
69,2024-03-14,1
70,2024-03-15,0
71,2024-03-18,0
72,2024-03-19,0
73,2024-03-20,0
74,2024-03-21,0
75,2024-03-22,0
76,2024-03-25,0
77,2024-03-26,0
78,2024-03-27,0
79,2024-03-28,0
80,2024-04-01,0
81,2024-04-02,0
82,2024-04-03,0
83,2024-04-04,0
84,2024-04-05,0
85,2024-04-08,0
86,2024-04-09,0
87,2024-04-10,0
88,2024-04-11,0
89,2024-04-12,0
90,2024-04-15,0
91,2024-04-16,0
92,2024-04-17,0
93,2024-04-18,0
94,2024-04-19,0
95,2024-04-22,0
96,2024-04-23,0
97,2024-04-24,0
98,2024-04-25,0
99,2024-04-26,0
100,2024-04-29,0
101,2024-04-30,0
102,2024-05-01,0
103,2024-05-02,0
104,2024-05-03,0
105,2024-05-06,0
106,2024-05-07,0
107,2024-05-08,0
108,2024-05-09,0
109,2024-05-10,0
110,2024-05-13,0
111,2024-05-14,0
112,2024-05-15,0
113,2024-05-16,0
114,2024-05-17,0
115,2024-05-20,0
116,2024-05-21,0
117,2024-05-22,0
118,2024-05-23,0
119,2024-05-24,0
120,2024-05-28,0
121,2024-05-29,0
122,2024-05-30,0
123,2024-05-31,0
124,2024-06-03,0
125,2024-06-04,0
126,2024-06-05,0
127,2024-06-06,0
128,2024-06-07,0
129,2024-06-10,0
130,2024-06-11,0
131,2024-06-12,0
132,2024-06-13,1
133,2024-06-14,1
134,2024-06-17,1
135,2024-06-18,0
136,2024-06-20,0
137,2024-06-21,0
138,2024-06-24,0
139,2024-06-25,0
140,2024-06-26,0
141,2024-06-27,0
142,2024-06-28,0
143,2024-07-01,0
144,2024-07-02,0
145,2024-07-03,0
146,2024-07-05,0
147,2024-07-08,0
148,2024-07-09,0
149,2024-07-10,0
150,2024-07-11,0
151,2024-07-12,0
152,2024-07-15,0
153,2024-07-16,0
154,2024-07-17,0
155,2024-07-18,0
156,2024-07-19,0
157,2024-07-22,0
158,2024-07-23,0
159,2024-07-24,0
160,2024-07-25,0
161,2024-07-26,0
162,2024-07-29,0
163,2024-07-30,0
164,2024-07-31,0
165,2024-08-01,0
166,2024-08-02,0
167,2024-08-05,0
168,2024-08-06,0
169,2024-08-07,0
170,2024-08-08,0
171,2024-08-09,0
172,2024-08-12,0
173,2024-08-13,0
174,2024-08-14,0
175,2024-08-15,0
176,2024-08-16,0
177,2024-08-19,0
178,2024-08-20,0
179,2024-08-21,0
180,2024-08-22,0
181,2024-08-23,0
182,2024-08-26,0
183,2024-08-27,0
184,2024-08-28,0
185,2024-08-29,0
186,2024-08-30,0
187,2024-09-03,0
188,2024-09-04,0
189,2024-09-05,0
190,2024-09-06,0
191,2024-09-09,0
192,2024-09-10,0
193,2024-09-11,0
194,2024-09-12,0
195,2024-09-13,0
196,2024-09-16,0
197,2024-09-17,0
198,2024-09-18,0
199,2024-09-19,0
200,2024-09-20,0
201,2024-09-23,0
202,2024-09-24,0
203,2024-09-25,0
204,2024-09-26,0
205,2024-09-27,0
206,2024-09-30,0
207,2024-10-01,0
208,2024-10-02,0
209,2024-10-03,0
210,2024-10-04,0
211,2024-10-07,0
212,2024-10-08,0
213,2024-10-09,1
214,2024-10-10,1
215,2024-10-11,1
216,2024-10-14,1
217,2024-10-15,1
218,2024-10-16,1
219,2024-10-17,1
220,2024-10-18,1
221,2024-10-21,0
222,2024-10-22,0
223,2024-10-23,0
224,2024-10-24,0
225,2024-10-25,0
226,2024-10-28,0
227,2024-10-29,0
228,2024-10-30,0
229,2024-10-31,0
230,2024-11-01,0
231,2024-11-04,0
232,2024-11-05,0
233,2024-11-06,0
234,2024-11-07,0
235,2024-11-08,0
236,2024-11-11,0
237,2024-11-12,0
238,2024-11-13,0
239,2024-11-14,0
240,2024-11-15,0
241,2024-11-18,0
242,2024-11-19,0
243,2024-11-20,0
244,2024-11-21,0
245,2024-11-22,0
246,2024-11-25,0
247,2024-11-26,0
248,2024-11-27,0
